,size
2424,4
200,4
3130,4
3616,4
2437,4
2438,4
3617,4
2382,4
3598,4
2378,4
2492,4
2495,4
3098,4
2706,4
2502,4
2353,4
2386,4
3031,4
565,4
2182,4
2696,4
3037,4
2654,4
3035,4
2666,4
3218,4
3668,4
3419,4
3222,4
3118,4
599,4
2675,4
2199,4
2187,4
3561,4
3101,4
18,4
2363,4
3113,4
2475,4
2366,4
3192,4
3560,4
2230,4
3226,4
590,3
47,3
1751,3
1747,3
3642,3
3803,3
1830,3
1827,3
520,3
2447,3
1793,3
3659,3
4173,3
1805,3
2240,3
2242,3
3657,3
3790,3
1756,3
267,3
205,3
2282,3
2269,3
3649,3
3651,3
2449,3
2228,3
2450,3
2451,3
2452,3
3825,3
2360,3
3671,3
3663,3
1771,3
1760,3
2219,3
2218,3
2217,3
4171,3
1769,3
1768,3
271,3
1763,3
1776,3
1819,3
583,3
1778,3
1690,3
2347,3
3670,3
2350,3
1677,3
1672,3
2195,3
258,3
1666,3
2356,3
1692,3
3624,3
585,3
1694,3
2298,3
2300,3
3637,3
207,3
490,3
1894,3
640,3
1832,3
2344,3
1791,3
2292,3
1821,3
270,3
3795,3
4172,3
1787,3
2259,3
2260,3
3783,3
204,3
2213,3
201,3
3808,3
1679,3
2331,3
2200,3
2334,3
4156,3
289,3
3776,3
1681,3
2446,3
2369,3
2444,3
1657,3
1857,3
3767,3
2372,3
2191,3
1662,3
3620,3
2367,3
254,3
2189,3
2188,3
2422,3
3826,3
1652,3
1633,3
2375,3
2379,3
3830,3
4169,3
253,3
3672,3
3835,3
1589,3
1892,3
650,3
1723,3
1860,3
3837,3
2396,3
2397,3
2398,3
3839,3
648,3
2171,3
3678,3
1590,3
1864,3
1859,3
651,3
66,3
3852,3
30,3
2414,3
2415,3
3607,3
252,3
2179,3
1636,3
1585,3
1540,3
1536,3
2484,3
1564,3
3684,3
1876,3
630,3
310,3
2427,3
2429,3
1855,3
194,3
3603,3
1584,3
1581,3
1580,3
1577,3
1882,3
2454,3
2154,3
4178,3
2480,3
1543,3
1544,3
2163,3
2159,3
3583,3
2472,3
3595,3
1895,3
3864,3
3594,3
2462,3
3865,3
3590,3
1553,3
2470,3
1899,3
2141,3
3861,3
1548,3
3870,3
1546,3
2306,3
2507,3
2210,3
577,3
3892,3
2530,3
2674,3
2115,3
2509,3
2510,3
1518,3
3751,3
2112,3
2515,3
3894,3
3576,3
1516,3
2111,3
1515,3
3700,3
3878,3
2523,3
2524,3
3573,3
331,3
347,3
1380,3
2630,3
3910,3
2065,3
3728,3
1408,3
2620,3
3911,3
4164,3
2627,3
4180,3
345,3
2015,3
2056,3
1393,3
2009,3
616,3
506,3
4145,3
4144,3
3918,3
3919,3
3572,3
1520,3
245,3
1489,3
239,3
2092,3
3741,3
3740,3
2550,3
3746,3
3747,3
220,3
1958,3
2539,3
2121,3
1505,3
2106,3
222,3
3890,3
1504,3
2542,3
661,3
2544,3
1497,3
2533,3
3567,3
1814,3
2529,3
65,3
2489,3
3582,3
656,3
607,3
1530,3
1902,3
3758,3
2493,3
2494,3
2504,3
3872,3
1905,3
2497,3
1527,3
3873,3
3756,3
1913,3
2503,3
2008,3
357,3
1721,3
1424,3
1992,3
1999,3
1435,3
1434,3
339,3
1430,3
1426,3
1425,3
2070,3
2068,3
1439,3
1423,3
3908,3
1420,3
176,3
4147,3
1450,3
2570,3
1971,3
2084,3
670,3
1442,3
2646,3
287,3
1720,3
3814,3
2208,3
3815,3
2318,3
2203,3
3780,3
1703,3
40,3
3817,3
613,3
2485,3
604,3
1533,3
2614,3
3709,3
4166,3
2593,3
1986,3
1987,3
1475,3
2562,3
1474,3
3721,3
2019,3
3543,3
2020,3
358,3
3542,3
2023,3
3541,3
1366,3
2046,3
3539,3
1473,3
741,3
1361,3
2668,3
2033,3
2669,3
1356,3
1355,3
3536,3
3718,3
485,3
3545,3
2053,3
2003,3
665,3
1975,3
1470,3
2569,3
1466,3
1984,3
1463,3
1980,3
2576,3
2577,3
668,3
1455,3
1454,3
2583,3
3901,3
2585,3
1417,3
3551,3
3565,3
3611,3
1840,3
566,3
3489,3
1184,3
3942,3
3983,3
3981,3
3982,3
1311,3
3491,3
2727,3
3490,3
1207,3
1328,3
1201,3
1185,3
2725,3
3485,3
1198,3
1197,3
3945,3
1194,3
2841,3
2850,3
2880,3
2848,3
3476,3
510,3
3980,3
1156,3
2823,3
3992,3
385,3
2718,3
2856,3
2858,3
2862,3
3999,3
2863,3
1172,3
386,3
692,3
1164,3
1326,3
2874,3
3525,3
3470,3
3987,3
618,3
3971,3
3143,3
4102,3
3354,3
3353,3
864,3
4087,3
2933,3
4075,3
3141,3
3142,3
3144,3
3219,3
908,3
111,3
902,3
900,3
3151,3
3152,3
3383,3
897,3
2,3
3220,3
818,3
1097,3
845,3
3362,3
3369,3
3368,3
860,3
443,3
857,3
4091,3
3193,3
849,3
4093,3
819,3
4094,3
92,3
730,3
3372,3
3204,3
836,3
4098,3
3356,3
4100,3
2756,3
2758,3
4077,3
3532,3
4018,3
3461,3
2689,3
2906,3
1130,3
1132,3
2688,3
1134,3
2691,3
2686,3
2915,3
1137,3
2695,3
1138,3
4015,3
395,3
2898,3
3528,3
2913,3
508,3
3462,3
2894,3
1112,3
2924,3
3932,3
3463,3
1340,3
2703,3
1342,3
2702,3
2680,3
3531,3
2923,3
678,3
4004,3
4019,3
3453,3
4006,3
363,3
3937,3
4005,3
1330,3
2885,3
365,3
2699,3
4135,3
3958,3
1262,3
2733,3
1306,3
483,3
3953,3
161,3
2763,3
160,3
1265,3
2774,3
1259,3
1220,3
1268,3
2766,3
3507,3
3965,3
2754,3
3967,3
3959,3
3511,3
3504,3
1302,3
2812,3
1343,3
3950,3
1110,3
1109,3
2681,3
2883,3
2772,3
4003,3
380,3
2797,3
3501,3
2931,3
1222,3
2747,3
1228,3
1294,3
2806,3
2741,3
3517,3
559,3
3498,3
2736,3
868,3
2919,3
884,3
1013,3
4026,3
2963,3
2965,3
1074,3
1072,3
3437,3
1070,3
1069,3
4134,3
123,3
1082,3
4065,3
3107,3
3087,3
3088,3
4050,3
3093,3
3094,3
476,3
956,3
2958,3
2955,3
3100,3
3449,3
1016,3
3029,3
1015,3
3033,3
2981,3
2979,3
3435,3
2975,3
3450,3
3448,3
1084,3
1094,3
1090,3
3446,3
2944,3
2947,3
2949,3
2950,3
2951,3
3443,3
947,3
3102,3
3026,3
709,3
121,3
3050,3
988,3
537,3
986,3
984,3
118,3
3411,3
3064,3
3409,3
1003,3
536,3
3408,3
3407,3
971,3
3405,3
967,3
3165,3
710,3
965,3
997,3
3043,3
3400,3
717,3
3105,3
3108,3
538,3
3396,3
3112,3
